rank,name,genre,country,formed,split,fans,band_link,img_link
187,Entombed,"death, death 'n' roll",Sweden,1987,-,484,band.php?band_id=100,../images/bands/100.jpg
188,Anaal Nathrakh,"black, grindcore",United Kingdom,1998,-,481,band.php?band_id=535,../images/bands/535.jpg
189,Atheist,technical death,USA,1984,-,481,band.php?band_id=468,../images/bands/468.jpg
190,Shining,"depressive black, progressive black",Sweden,1996,-,481,band.php?band_id=372,../images/bands/372.jpg
191,Saxon,"new wave of british heavy, heavy",United Kingdom,1976,-,479,band.php?band_id=295,../images/bands/295.jpg
192,Strapping Young Lad,"industrial, thrash",Canada,1995,2007,476,band.php?band_id=185,../images/bands/185.jpg
193,Black Label Society,heavy,USA,1998,-,471,band.php?band_id=51,../images/bands/51.jpg
194,DevilDriver,"nu, melodic death, groove thrash",USA,2002,-,470,band.php?band_id=950,../images/bands/950.jpg
195,Delain,symphonic,The Netherlands,2002,-,468,band.php?band_id=2398,../images/bands/2398.jpg
196,Samael,"black, electro industrial",Switzerland,1987,-,460,band.php?band_id=141,../images/bands/141.jpg
197,Steven Wilson,progressive rock,United Kingdom,2003,-,459,band.php?band_id=3930,../images/bands/3930.jpg
198,Drudkh,"atmospheric black, pagan black",Ukraine,2002,-,454,band.php?band_id=1746,../images/bands/1746.jpg
199,Soen,"progressive, alternative",Sweden,2004,-,451,band.php?band_id=6863,../images/bands/6863.jpg
200,Watain,black,Sweden,1998,-,446,band.php?band_id=578,../images/bands/578.jpg
201,Deftones,"nu, alternative",USA,1988,-,442,band.php?band_id=560,../images/bands/560.jpg
202,QueensrÃ¿che,"heavy, progressive heavy, progressive rock",USA,1981,-,441,band.php?band_id=197,../images/bands/197.jpg
203,Ghost Brigade,"post-metal, alternative",Finland,2005,2020,437,band.php?band_id=3288,../images/bands/3288.jpg
204,Wolves In The Throne Room,atmospheric black,USA,2004,-,430,band.php?band_id=2814,../images/bands/2814.jpg
205,Alice Cooper,"hard rock, glam rock, new wave, heavy",USA,1964,-,426,band.php?band_id=401,../images/bands/401.jpg
206,MgÅ‚a,black,Poland,2000,-,426,band.php?band_id=1951,../images/bands/1951.jpg
207,Xandria,"gothic, symphonic",Germany,1994,-,423,band.php?band_id=612,../images/bands/612.jpg
208,Primal Fear,power,Germany,1997,-,422,band.php?band_id=57,../images/bands/57.jpg
209,King Crimson,progressive rock,United Kingdom,1969,-,417,band.php?band_id=3223,../images/bands/3223.jpg
210,Firewind,"power, heavy",Greece,1998,-,416,band.php?band_id=416,../images/bands/416.jpg
211,Theatre Of Tragedy,"gothic, gothic industrial",Norway,1993,2010,415,band.php?band_id=66,../images/bands/66.jpg
212,Haken,progressive,United Kingdom,2007,-,414,band.php?band_id=5338,../images/bands/5338.jpg
213,Cult Of Luna,"post-metal, sludge",Sweden,1998,-,413,band.php?band_id=532,../images/bands/532.jpg
214,Animals As Leaders,"progressive, instrumental, djent",USA,2007,-,410,band.php?band_id=4972,../images/bands/4972.jpg
215,Bullet For My Valentine,melodic metalcore,United Kingdom,1998,-,409,band.php?band_id=3164,../images/bands/3164.jpg
216,Running Wild,"heavy, speed",Germany,1976,-,409,band.php?band_id=292,../images/bands/292.jpg
217,KISS,"hard rock, symphonic rock, glam, heavy",USA,1972,-,408,band.php?band_id=449,../images/bands/449.jpg
218,Belphegor,"black, death",Austria,1991,-,407,band.php?band_id=597,../images/bands/597.jpg
219,Nine Inch Nails,"industrial rock, industrial",USA,1988,-,407,band.php?band_id=2358,../images/bands/2358.jpg
220,Rage Against The Machine,"alternative, nu",USA,1991,-,407,band.php?band_id=2855,../images/bands/2855.jpg
221,Carach Angren,symphonic black,The Netherlands,2003,-,406,band.php?band_id=4064,../images/bands/4064.jpg
222,Faith No More,alternative,USA,1981,-,403,band.php?band_id=400,../images/bands/400.jpg
